Stop,Runtime,Line,Departure time,Arrival time
Szkocka,>,136,07:20:00,07:22:00
Wroclawski Park Technologiczny,>,136,07:22:00,07:24:00
ROD Oswiata,>,136,07:24:00,07:26:00
FAT,>,136,07:26:00,07:32:00
Ostrowskiego,>,119,07:38:00,07:39:00
Koncowa,>,119,07:39:00,07:41:00

A* - TIME,0.0
From: ,SWINIARY,To: ,Mosty Warszawskie
SWINIARY,>,,,00:12:00

A* - TIME,2.50496
From: ,Monte Cassino,To: ,REDZIN
Monte Cassino,>,,,19:56:00
Libelta,>,145,20:02:00,20:03:00
SEPOLNO,>,145,20:03:00,20:05:00
Godebskiego (AWF Wroclaw),>,9,20:08:00,20:09:00
8 Maja,>,9,20:09:00,20:10:00
Stadion Olimpijski,>,9,20:10:00,20:11:00
Karlowicza,>,9,20:11:00,20:12:00
Chopina,>,9,20:12:00,20:13:00
Kochanowskiego,>,9,20:13:00,20:15:00
Grunwaldzka,>,9,20:15:00,20:16:00
Piastowska,>,9,20:16:00,20:17:00
Prusa,>,70,20:18:00,20:20:00
Wyszynskiego,>,70,20:20:00,20:21:00
Nowowiejska,>,70,20:21:00,20:23:00
Slowianska,>,70,20:23:00,20:24:00
DWORZEC NADODRZE,>,70,20:24:00,20:26:00
Kleczkowska,>,714,20:35:00,20:37:00
most Osobowicki,>,714,20:37:00,20:39:00
Serbska (C.K. Agora),>,714,20:39:00,20:40:00
OSOBOWICKA (Cmentarz II),>,714,20:40:00,20:41:00
OSOBOWICKA (Cmentarz),>,714,20:41:00,20:42:00
OSOBOWICE,>,714,20:42:00,20:43:00
Jarocinska,>,140,21:09:00,21:11:00
Lipska,>,140,21:11:00,21:12:00
Las Osobowicki,>,118,21:43:00,21:44:00
REDZIN,>,118,21:44:00,21:50:00

A* - TIME,1.484183
From: ,Hippiczna,To: ,Awicenny (Stacja kolejowa)
Hippiczna,>,,,13:21:00
PARK POLUDNIOWY,>,612,13:50:00,13:52:00
KRZYKI,>,612,13:52:00,13:54:00
Sowia,>,A,13:59:00,14:00:00
Chlodna,>,A,14:00:00,14:01:00
Wawrzyniaka,>,A,14:01:00,14:02:00
Rymarska,>,A,14:02:00,14:04:00
RACLAWICKA,>,A,14:04:00,14:05:00
Bukowskiego,>,A,14:05:00,14:06:00
Stanki,>,A,14:06:00,14:07:00
Kadlubka,>,A,14:07:00,14:08:00
Wiejska,>,A,14:08:00,14:09:00
Jordanowska,>,125,14:13:00,14:15:00
Chachaja,>,132,14:34:00,14:35:00
Awicenny,>,132,14:35:00,14:36:00
Awicenny (Stacja kolejowa),>,132,14:36:00,14:38:00

A* - TIME,1.172357
From: ,OPOROW,To: ,Kozanowska
OPOROW,>,,,05:40:00
GRABISZYNSKA (Cmentarz II),>,4,05:40:00,05:41:00
GRABISZYNSKA (Cmentarz),>,4,05:41:00,05:42:00
Fiolkowa,>,4,05:42:00,05:43:00
FAT,>,4,05:43:00,05:45:00
ROD Oswiata,>,134,05:47:00,05:48:00
Wroclawski Park Technologiczny,>,134,05:48:00,05:49:00
Szkocka,>,134,05:49:00,05:51:00
Gadowianka,>,136,06:00:00,06:02:00
